depth,frame,x,y,weight,height,label
1, 0, 0, 0, 128, 128, 1 
2, 0, 0, 0, 64, 64, 1 
3, 0, 0, 0, 32, 32, 0 
3, 0, 32, 0, 32, 32, 3 
4, 0, 32, 0, 16, 32, 0 
4, 0, 48, 0, 16, 32, 0 
3, 0, 0, 32, 32, 32, 0 
3, 0, 32, 32, 32, 32, 1 
4, 0, 32, 32, 16, 16, 0 
4, 0, 48, 32, 16, 16, 0 
4, 0, 32, 48, 16, 16, 0 
4, 0, 48, 48, 16, 16, 2 
5, 0, 48, 48, 16, 8, 3 
6, 0, 48, 48, 8, 8, 0 
6, 0, 56, 48, 8, 8, 2 
7, 0, 56, 48, 8, 4, 0 
7, 0, 56, 52, 8, 4, 0 
5, 0, 48, 56, 16, 8, 2 
6, 0, 48, 56, 16, 4, 5 
7, 0, 48, 56, 4, 4, 0 
7, 0, 52, 56, 8, 4, 0 
7, 0, 56, 56, 4, 4, 0 
6, 0, 48, 60, 16, 4, 3 
7, 0, 48, 60, 8, 4, 0 
7, 0, 56, 60, 8, 4, 0 
2, 0, 64, 0, 64, 64, 1 
3, 0, 64, 0, 32, 32, 5 
4, 0, 64, 0, 8, 32, 0 
4, 0, 72, 0, 16, 32, 4 
5, 0, 72, 0, 16, 8, 0 
5, 0, 72, 8, 16, 16, 0 
5, 0, 72, 16, 16, 8, 0 
4, 0, 80, 0, 8, 32, 0 
3, 0, 96, 0, 32, 32, 3 
4, 0, 96, 0, 16, 32, 4 
5, 0, 96, 0, 16, 8, 3 
6, 0, 96, 0, 8, 8, 0 
6, 0, 104, 0, 8, 8, 0 
5, 0, 96, 8, 16, 16, 0 
5, 0, 96, 16, 16, 8, 0 
4, 0, 112, 0, 16, 32, 2 
5, 0, 112, 0, 16, 16, 0 
5, 0, 112, 16, 16, 16, 5 
6, 0, 112, 16, 4, 16, 0 
6, 0, 116, 16, 8, 16, 0 
6, 0, 120, 16, 4, 16, 0 
3, 0, 64, 32, 32, 32, 1 
4, 0, 64, 32, 16, 16, 2 
5, 0, 64, 32, 16, 8, 0 
5, 0, 64, 40, 16, 8, 3 
6, 0, 64, 40, 8, 8, 0 
6, 0, 72, 40, 8, 8, 0 
4, 0, 80, 32, 16, 16, 3 
5, 0, 80, 32, 8, 16, 4 
6, 0, 80, 32, 8, 4, 0 
6, 0, 80, 36, 8, 8, 0 
6, 0, 80, 40, 8, 4, 0 
5, 0, 88, 32, 8, 16, 2 
6, 0, 88, 32, 8, 8, 0 
6, 0, 88, 40, 8, 8, 0 
4, 0, 64, 48, 16, 16, 4 
5, 0, 64, 48, 16, 4, 0 
5, 0, 64, 52, 16, 8, 0 
5, 0, 64, 56, 16, 4, 0 
4, 0, 80, 48, 16, 16, 0 
3, 0, 96, 32, 32, 32, 1 
