depth,frame,x,y,weight,height,label
1, 0, 0, 0, 128, 128, 1 
2, 0, 0, 0, 64, 64, 1 
3, 0, 0, 0, 32, 32, 0 
3, 0, 32, 0, 32, 32, 0 
3, 0, 0, 32, 32, 32, 0 
3, 0, 32, 32, 32, 32, 1 
4, 0, 32, 32, 16, 16, 0 
4, 0, 48, 32, 16, 16, 0 
4, 0, 32, 48, 16, 16, 0 
4, 0, 48, 48, 16, 16, 4 
5, 0, 48, 48, 16, 4, 3 
6, 0, 48, 48, 8, 4, 3 
7, 0, 48, 48, 4, 4, 0 
7, 0, 52, 48, 4, 4, 0 
6, 0, 56, 48, 8, 4, 0 
5, 0, 48, 52, 16, 8, 3 
6, 0, 48, 52, 8, 8, 0 
6, 0, 56, 52, 8, 8, 2 
7, 0, 56, 52, 8, 4, 0 
7, 0, 56, 56, 8, 4, 0 
5, 0, 48, 56, 16, 4, 0 
2, 0, 64, 0, 64, 64, 1 
3, 0, 64, 0, 32, 32, 0 
3, 0, 96, 0, 32, 32, 1 
4, 0, 96, 0, 16, 16, 0 
4, 0, 112, 0, 16, 16, 0 
4, 0, 96, 16, 16, 16, 2 
5, 0, 96, 16, 16, 8, 0 
5, 0, 96, 24, 16, 8, 2 
6, 0, 96, 24, 16, 4, 0 
6, 0, 96, 28, 16, 4, 0 
4, 0, 112, 16, 16, 16, 2 
5, 0, 112, 16, 16, 8, 5 
6, 0, 112, 16, 4, 8, 2 
7, 0, 112, 16, 4, 4, 0 
7, 0, 112, 20, 4, 4, 0 
6, 0, 116, 16, 8, 8, 0 
6, 0, 120, 16, 4, 8, 0 
5, 0, 112, 24, 16, 8, 5 
6, 0, 112, 24, 4, 8, 0 
6, 0, 116, 24, 8, 8, 2 
7, 0, 116, 24, 8, 4, 0 
7, 0, 116, 28, 8, 4, 0 
6, 0, 120, 24, 4, 8, 0 
3, 0, 64, 32, 32, 32, 1 
4, 0, 64, 32, 16, 16, 2 
5, 0, 64, 32, 16, 8, 0 
5, 0, 64, 40, 16, 8, 3 
6, 0, 64, 40, 8, 8, 3 
7, 0, 64, 40, 4, 8, 0 
7, 0, 68, 40, 4, 8, 0 
6, 0, 72, 40, 8, 8, 0 
4, 0, 80, 32, 16, 16, 2 
5, 0, 80, 32, 16, 8, 0 
5, 0, 80, 40, 16, 8, 0 
4, 0, 64, 48, 16, 16, 5 
5, 0, 64, 48, 4, 16, 0 
5, 0, 68, 48, 8, 16, 0 
5, 0, 72, 48, 4, 16, 0 
4, 0, 80, 48, 16, 16, 0 
3, 0, 96, 32, 32, 32, 1 
4, 0, 96, 32, 16, 16, 4 
5, 0, 96, 32, 16, 4, 0 
5, 0, 96, 36, 16, 8, 0 
5, 0, 96, 40, 16, 4, 0 
4, 0, 112, 32, 16, 16, 4 
